artist,name,id,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
BLACKPINK,How You Like That,3vAn0qZzdyuHamcrpkfiX3,2020-06-26,87,0.828,0.782,11,-4.014,1,0.0918,0.0694,3.41e-05,0.0544,0.351,130.013,181264,4
XXXTENTACION,Jocelyn Flores,7m9OqQk4RVRkw9JJdeAw96,2017-08-25,87,0.872,0.391,0,-9.144,0,0.242,0.469,4.13e-06,0.297,0.437,134.021,119133,4
Regard,Secrets,66W1rVTnEv86dIkFhoiElg,2020-04-24,87,0.848,0.768,6,-5.386,0,0.0373,0.0412,0.000785,0.195,0.777,118.961,176767,4
Dua Lipa,Don't Start Now,6WrI0LAC5M1Rw2MnX2ZvEg,2019-10-31,87,0.794,0.793,11,-4.521,0,0.0842,0.0125,0.0,0.0952,0.677,123.941,183290,4
Lil Mosey,Blueberry Faygo,6wJYhPfqk3KGhHRG76WzOh,2020-02-07,87,0.774,0.554,0,-7.909,1,0.0383,0.207,0.0,0.132,0.349,99.034,162547,4
Drake,Toosie Slide,127QTOFJsJQp5LbJbu3A1y,2020-04-03,87,0.834,0.454,1,-9.75,0,0.201,0.321,6.15e-06,0.114,0.837,81.618,247059,4
Calvin Harris,Over Now (with The Weeknd),58AGoOGbwsQMhBbH0eFLRR,2020-08-28,87,0.612,0.884,4,-4.113,0,0.0454,0.0759,0.00132,0.247,0.679,178.043,210795,4
Rauw Alejandro,Elegí (feat. Dímelo Flow),50ZC4PM7hywH27RcCfViau,2020-03-26,87,0.824,0.631,0,-2.791,1,0.0809,0.237,0.000116,0.0531,0.678,171.965,197721,4
Pop Smoke,Got It On Me,25zlnOAzbVoOzIeXSvQFf1,2020-07-03,87,0.688,0.647,2,-7.258,1,0.19,0.00815,1.65e-05,0.095,0.195,88.834,164580,4
salem ilese,Mad at Disney,7aGyRfJWtLqgJaZoG9lJhE,2020-07-24,87,0.738,0.621,0,-7.313,1,0.0486,0.424,7.39e-06,0.692,0.715,113.968,136839,4
Harry Styles,Falling,1ZMiCix7XSAbfAJlEZWMCp,2019-12-13,87,0.567,0.267,4,-6.502,1,0.0299,0.839,1.46e-06,0.089,0.0592,110.011,240133,4
Dua Lipa,Break My Heart,017PF4Q3l4DBUiWoXk4OWT,2020-03-27,87,0.73,0.729,4,-3.434,0,0.0883,0.167,1.39e-06,0.349,0.467,113.013,221820,4
Bad Bunny,Yo Perreo Sola,0SqqAgdovOE24BzxIClpjw,2020-02-28,87,0.86,0.758,11,-5.16,1,0.0695,0.021,6.54e-05,0.344,0.453,97.014,172127,4
Taylor Swift,exile (feat. Bon Iver),4pvb0WLRcMtbPGmtejJJ6y,2020-07-24,87,0.298,0.38,6,-8.426,1,0.0287,0.778,5.62e-05,0.11,0.152,75.602,285634,4
Saweetie,Tap In,4Hpib09wXgD84w4uwTPnYD,2020-06-17,86,0.954,0.696,10,-7.117,0,0.204,0.00576,0.000498,0.0754,0.432,100.036,139413,4
Bad Bunny,Safaera,2DEZmgHKAvm41k4J3R2E9Y,2020-02-28,86,0.607,0.829,2,-4.074,1,0.379,0.0103,0.0,0.107,0.685,96.172,295177,4
Polo G,21,3JKgcAa7r07ocVWcV8bS0H,2020-05-15,86,0.783,0.479,7,-10.646,1,0.541,0.149,0.0,0.101,0.533,176.027,163798,4
Jack Harlow,WHATS POPPIN,1jaTQ3nqY3oAAYyCTbIvnM,2020-03-13,86,0.923,0.604,11,-6.671,0,0.245,0.017,0.0,0.272,0.826,145.062,139741,4
MEDUZA,Lose Control,7CHi4DtfK4heMlQaudCuHK,2019-10-11,86,0.598,0.526,10,-8.659,0,0.0415,0.129,0.0,0.14,0.529,123.935,168387,4
6ix9ine,GOOBA,4NhDYoQTYCdWHTvlbGVgwo,2020-05-08,86,0.611,0.688,1,-5.688,1,0.341,0.0264,0.0,0.251,0.393,178.462,132303,4
Bea Miller,feel something,7JDWhC422Gtk1Bq0mL3OTC,2019-06-21,86,0.74,0.415,0,-8.914,1,0.0707,0.242,0.000156,0.319,0.156,136.029,180161,4
Ed Sheeran,Perfect,0tgVpDi06FyKpA1z0VMD4v,2017-03-03,86,0.599,0.448,8,-6.312,1,0.0232,0.163,0.0,0.106,0.168,95.05,263400,3
Billie Eilish,when the party's over,43zdsphuZLzwA9k4DJhU0I,2019-03-29,86,0.367,0.111,4,-14.084,1,0.0972,0.978,3.97e-05,0.0897,0.198,82.642,196077,4
Megan Thee Stallion,Savage Remix (feat. Beyoncé),5v4GgrXPMghOnBBLmveLac,2020-04-29,86,0.822,0.743,10,-4.772,0,0.28,0.016,0.0,0.127,0.636,84.459,242001,4
Maroon 5,Nobody's Love,3kwgqoBqTwoAH4nT29TYrq,2020-07-24,86,0.486,0.567,1,-6.456,1,0.0379,0.31,0.0,0.0949,0.154,93.68,211254,4
Future,Life Is Good (feat. Drake),5yY9lUy8nbvjM1Uyo1Uqoc,2020-01-10,86,0.676,0.609,2,-5.831,0,0.481,0.0706,0.0,0.152,0.508,142.037,237735,4
Post Malone,rockstar (feat. 21 Savage),0e7ipj03S05BNilyu5bRzt,2018-04-27,86,0.585,0.52,5,-6.136,0,0.0712,0.124,7.01e-05,0.131,0.129,159.801,218147,4
Jhay Cortez,CÓMO SE SIENTE - Remix,2tFwfmceQa1Y6nRPhYbEtC,2020-05-09,86,0.807,0.606,3,-8.871,0,0.088,0.0946,0.0,0.119,0.304,92.988,227520,4
Eminem,Godzilla (feat. Juice WRLD),7FIWs0pqAYbP91WWM0vlTQ,2020-01-17,86,0.808,0.745,10,-5.26,0,0.342,0.145,0.0,0.292,0.829,165.995,210800,4
Wallows,Are You Bored Yet? (feat. Clairo),57RA3JGafJm5zRtKJiKPIm,2019-03-22,86,0.682,0.683,8,-6.444,0,0.0287,0.156,2.32e-05,0.273,0.64,120.023,178000,4
XXXTENTACION,SAD!,3ee8Jmje8o58CHK66QrVC2,2018-03-16,86,0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,166606,4
Drake,Chicago Freestyle (feat. Giveon),4wVOKKEHUJxHCFFNUWDn0B,2020-05-01,86,0.735,0.449,10,-7.507,1,0.347,0.629,0.0,0.113,0.0397,122.947,220488,4
Shawn Mendes,Señorita,0TK2YIli7K1leLovkQiNik,2019-06-21,86,0.759,0.54,9,-6.039,0,0.0287,0.037,0.0,0.0945,0.75,116.947,190960,4
Farruko,La Tóxica,15OjBeqNX3bShsGYQbteRv,2020-07-24,86,0.659,0.701,9,-4.107,1,0.164,0.0882,0.0,0.0866,0.623,91.97,180520,4
Clean Bandit,Tick Tock (feat. 24kGoldn),27u7t9d7ZQoyjsCROHuZJ3,2020-08-21,85,0.779,0.705,0,-3.895,1,0.0344,0.369,7.91e-06,0.124,0.946,101.022,178374,4
JACKBOYS,OUT WEST (feat. Young Thug),6gi6y1xwmVszDWkUqab1qw,2019-12-27,85,0.802,0.591,8,-4.895,1,0.225,0.0104,0.0,0.196,0.309,139.864,157712,4
Lady Gaga,Shallow,2VxeLyX666F8uXCJ0dZF8B,2018-10-05,85,0.572,0.385,7,-6.362,1,0.0308,0.371,0.0,0.231,0.323,95.799,215733,4
Ed Sheeran,Shape of You,7qiZfU4dY1lWllzX7mPBI3,2017-03-03,85,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,233713,4
Doja Cat,Boss Bitch,78qd8dvwea0Gosb6Fe6j3k,2020-01-23,85,0.707,0.955,10,-4.593,0,0.222,0.127,0.0,0.202,0.575,125.989,134240,4
Juice WRLD,Bandit (with YoungBoy Never Broke Again),6Gg1gjgKi2AK4e0qzsR7sd,2019-10-04,85,0.474,0.631,5,-5.884,0,0.343,0.0687,0.0,0.132,0.425,180.051,189323,4
Dan + Shay,"10,000 Hours (with Justin Bieber)",2wrJq5XKLnmhRXHIAf9xBa,2019-10-04,85,0.654,0.63,10,-4.644,1,0.0259,0.153,0.0,0.111,0.43,89.991,167693,4
Taylor Swift,the 1,0Jlcvv8IykzHaSmj49uNW8,2020-07-24,85,0.777,0.357,0,-6.942,1,0.0522,0.757,7.28e-06,0.108,0.172,139.883,210252,4
Pop Smoke,Hello (feat. A Boogie Wit da Hoodie),2r6OAV3WsYtXuXjvJ1lIDi,2020-07-20,85,0.905,0.647,10,-5.065,0,0.107,0.0187,0.0,0.282,0.367,130.97,190534,4
Erik Eriksson,Clean White Noise - Loopable with no fade,2bRKxuH1o7pTmb1y4GfdEc,2017-01-08,85,0.0,0.00342,8,-28.46,1,0.0,0.791,1.0,0.111,0.0,0.0,90228,0
Feid,"PORFA Remix ( Feat. Maluma, Nicky Jam, Sech) - Remix",7lUdbnz7wsv3C9zzf4WHl9,2020-06-26,85,0.793,0.737,6,-4.731,0,0.0785,0.0765,0.0,0.0747,0.697,167.969,333800,4
Maluma,Parce (feat. Justin Quiles),4RJz8NfIe09gpKMiRUWKhJ,2020-08-21,85,0.691,0.739,5,-3.09,0,0.229,0.422,3.95e-06,0.11,0.884,83.897,248345,4
XXXTENTACION,Moonlight,0JP9xo3adEtGSdUEISiszL,2018-03-16,85,0.921,0.537,9,-5.723,0,0.0804,0.556,0.00404,0.102,0.711,128.009,135090,4
Noah Cyrus,July,6J2LdBN97cDWn0MLxYh9HB,2020-05-15,85,0.708,0.186,9,-8.953,0,0.042,0.868,0.0,0.0779,0.322,72.541,156106,4
Chris Brown,No Guidance (feat. Drake),6XHVuErjQ4XNm6nDPVCxVX,2019-06-28,85,0.698,0.454,1,-6.756,0,0.151,0.123,0.0,0.155,0.137,92.932,260640,4
Ali Gatie,It's You,5DqdesEfbRyOlSS3Tf6c29,2019-11-08,85,0.732,0.463,11,-6.972,0,0.0287,0.374,0.0,0.194,0.397,95.971,212607,4
Lil Peep,Star Shopping,30bqVoKjX479ab90a8Pafp,2019-04-19,85,0.585,0.471,4,-9.934,0,0.0616,0.0967,0.0184,0.115,0.323,93.099,142000,4
Lil Baby,We Paid (feat. 42 Dugg),6gxKUmycQX7uyMwJcweFjp,2020-05-01,85,0.926,0.542,1,-5.064,1,0.293,0.135,0.0,0.0877,0.564,135.14,181929,4
Kina,Get You The Moon (feat. Snøw),4ZLzoOkj0MPWrTLvooIuaa,2018-10-08,85,0.498,0.235,1,-16.541,0,0.188,0.72,0.0,0.144,0.0895,118.917,179080,4
blackbear,hot girl bummer,2mt1IqcFyY1zmYZT8Q3xw9,2020-08-21,85,0.782,0.559,6,-7.106,0,0.0767,0.125,0.0,0.385,0.685,129.992,188344,1
Marshmello,Happier,2dpaYNEQHiRxtZbfNsse99,2018-08-17,85,0.687,0.792,5,-2.749,1,0.0452,0.191,0.0,0.167,0.671,100.015,214290,4
Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,3KkXRkHbMCARz0aVfEt68P,2018-12-14,85,0.76,0.479,2,-5.574,1,0.0466,0.556,0.0,0.0703,0.913,89.911,158040,4
Juice WRLD,Righteous,5dOxHHMOFAbG3VH23t0xNm,2020-07-10,85,0.706,0.625,0,-7.426,1,0.0314,0.0417,0.0,0.129,0.225,142.948,242181,4
