artist,name,id,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Taylor Swift,invisible string,6VsvKPJ4xjVNKpI8VVZ3SV,2020-07-24,87,0.653,0.452,4,-11.143,0,0.055,0.838,7.73e-05,0.108,0.45,83.433,252881,4
XXXTENTACION,SAD!,3ee8Jmje8o58CHK66QrVC2,2018-03-16,87,0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,166606,4
JP Saxe,If the World Was Ending - feat. Julia Michaels,2kJwzbxV2ppxnQoYw4GLBZ,2019-10-17,87,0.464,0.473,1,-10.086,1,0.129,0.866,0.0,0.109,0.604,75.801,208687,4
Pop Smoke,Dior,79s5XnCN4TJKTVMSmOx8Ep,2019-07-26,87,0.548,0.805,7,-5.732,1,0.351,0.212,0.000389,0.408,0.648,142.094,216387,4
Taylor Swift,mirrorball,0ZNU020wNYvgW84iljPkPP,2020-07-24,87,0.553,0.413,2,-10.037,1,0.0334,0.687,2.33e-06,0.0594,0.379,110.107,208978,4
Taylor Swift,this is me trying,7kt9e9LFSpN1zQtYEl19o1,2020-07-24,87,0.515,0.476,9,-9.843,1,0.0328,0.314,4.74e-05,0.171,0.412,135.886,195097,4
Justin Bieber,Intentions,364dI1bYnvamSnBJ8JcNzN,2020-02-07,87,0.811,0.553,9,-6.644,1,0.0552,0.317,0.0,0.105,0.86,148.014,212869,4
Pop Smoke,Mood Swings (feat. Lil Tjay),5rZlwNFl01HqLWBQGryKSm,2020-07-03,87,0.48,0.602,10,-6.335,0,0.368,0.487,0.0,0.0848,0.269,179.798,213333,4
Pop Smoke,Got It On Me,25zlnOAzbVoOzIeXSvQFf1,2020-07-03,87,0.688,0.647,2,-7.258,1,0.19,0.00815,1.65e-05,0.095,0.195,88.834,164580,4
Lil Baby,We Paid (feat. 42 Dugg),6gxKUmycQX7uyMwJcweFjp,2020-05-01,87,0.926,0.542,1,-5.064,1,0.293,0.135,0.0,0.0877,0.564,135.14,181929,4
Anuel AA,Reggaetonera,6yVkakCN460KOVol9ZazjH,2020-05-29,86,0.694,0.796,6,-4.164,1,0.0565,0.48,0.000384,0.108,0.515,93.064,212312,4
Lady Gaga,Shallow,2VxeLyX666F8uXCJ0dZF8B,2018-10-05,86,0.572,0.385,7,-6.362,1,0.0308,0.371,0.0,0.231,0.323,95.799,215733,4
Taylor Swift,betty,5kI4eCXXzyuIUXjQra0Cxi,2020-07-24,86,0.593,0.377,0,-8.761,1,0.0253,0.6,0.0,0.0976,0.502,95.939,294521,4
Taylor Swift,illicit affairs,2NmsngXHeC1GQ9wWrzhOMf,2020-07-24,86,0.559,0.31,10,-10.445,1,0.0338,0.881,0.0,0.106,0.46,119.845,190898,4
Maroon 5,Nobody's Love,3kwgqoBqTwoAH4nT29TYrq,2020-07-24,86,0.486,0.567,1,-6.456,1,0.0379,0.31,0.0,0.0949,0.154,93.68,211254,4
J Balvin,Amarillo,6zEgnpM0qYmHLDnh8WPejL,2020-03-19,86,0.641,0.857,1,-5.725,0,0.301,0.013,0.00534,0.0695,0.961,122.728,157733,5
Alex Rose,Jangueo,5m3jpKkgkfoMcym1qjToFg,2019-11-08,86,0.851,0.688,11,-4.038,1,0.0565,0.238,1.93e-05,0.105,0.732,103.982,259600,4
Conan Gray,Heather,4xqrdfXkTW4T0RauPLv3WA,2020-03-20,86,0.357,0.425,5,-7.301,1,0.0333,0.584,0.0,0.322,0.27,102.078,198040,3
Polo G,Flex (feat. Juice WRLD),2QqJTIlGKRLJC3onkavYEz,2020-05-15,86,0.752,0.673,10,-5.792,0,0.153,0.0538,0.0,0.133,0.35,164.009,163902,4
Justin Quiles,PAM,0eeKDrQxjqNl5bX5VCHDcn,2020-05-01,86,0.889,0.863,11,-3.011,1,0.0757,0.289,0.000603,0.0798,0.776,112.953,201000,4
Rauw Alejandro,Tattoo,7na7Bk98usp84FaOJFPv3d,2020-02-13,86,0.755,0.617,9,-5.144,1,0.182,0.0217,0.0,0.0625,0.745,193.896,202887,4
Juice WRLD,All Girls Are The Same,4VXIryQMWpIdGgYR4TrjT1,2018-12-10,86,0.671,0.529,0,-7.226,1,0.307,0.0769,0.000335,0.0856,0.203,161.989,165820,4
Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,3KkXRkHbMCARz0aVfEt68P,2018-12-14,86,0.76,0.479,2,-5.574,1,0.0466,0.556,0.0,0.0703,0.913,89.911,158040,4
